rivid,area_sqm,lon_index,lat_index,npoints,lsm_grid_lon,lsm_grid_lat
17239414,0,691,439,1,-96.20833333333672,42.29166666666572
17239674,0,691,439,1,-96.20833333333672,42.29166666666572
17239648,0,691,439,1,-96.20833333333672,42.29166666666572
17239732,0,691,439,1,-96.20833333333672,42.29166666666572
17239638,0,691,439,1,-96.20833333333672,42.29166666666572
17239640,0,691,439,1,-96.20833333333672,42.29166666666572
17239338,0,691,439,1,-96.20833333333672,42.29166666666572
17239612,0,691,439,1,-96.20833333333672,42.29166666666572
17240304,0,691,439,1,-96.20833333333672,42.29166666666572
17240202,0,691,439,1,-96.20833333333672,42.29166666666572
17239430,0,691,439,1,-96.20833333333672,42.29166666666572
17239358,0,691,439,1,-96.20833333333672,42.29166666666572
17239396,0,691,439,1,-96.20833333333672,42.29166666666572
17239472,0,691,439,1,-96.20833333333672,42.29166666666572
17239282,0,691,439,1,-96.20833333333672,42.29166666666572
17239280,0,691,439,1,-96.20833333333672,42.29166666666572
17240242,0,691,439,1,-96.20833333333672,42.29166666666572
17240250,0,691,439,1,-96.20833333333672,42.29166666666572
17239642,0,691,439,1,-96.20833333333672,42.29166666666572
17239548,0,691,439,1,-96.20833333333672,42.29166666666572
17239554,0,691,439,1,-96.20833333333672,42.29166666666572
17239320,0,691,439,1,-96.20833333333672,42.29166666666572
17239466,0,691,439,1,-96.20833333333672,42.29166666666572
17240376,0,691,439,1,-96.20833333333672,42.29166666666572
17240384,0,691,439,1,-96.20833333333672,42.29166666666572
17239550,0,691,439,1,-96.20833333333672,42.29166666666572
17239352,0,691,439,1,-96.20833333333672,42.29166666666572
17239284,0,691,439,1,-96.20833333333672,42.29166666666572
17239720,0,691,439,1,-96.20833333333672,42.29166666666572
17241970,0,691,439,1,-96.20833333333672,42.29166666666572
17240182,0,691,439,1,-96.20833333333672,42.29166666666572
17238876,0,691,439,1,-96.20833333333672,42.29166666666572
17239486,0,691,439,1,-96.20833333333672,42.29166666666572
17239312,0,691,439,1,-96.20833333333672,42.29166666666572
17239530,0,691,439,1,-96.20833333333672,42.29166666666572
17240330,0,691,439,1,-96.20833333333672,42.29166666666572
17239496,0,691,439,1,-96.20833333333672,42.29166666666572
17238874,0,691,439,1,-96.20833333333672,42.29166666666572
17239316,0,691,439,1,-96.20833333333672,42.29166666666572
17239272,0,691,439,1,-96.20833333333672,42.29166666666572
17240226,0,691,439,1,-96.20833333333672,42.29166666666572
17239458,0,691,439,1,-96.20833333333672,42.29166666666572
17239818,0,691,439,1,-96.20833333333672,42.29166666666572
17239444,0,691,439,1,-96.20833333333672,42.29166666666572
17240256,0,691,439,1,-96.20833333333672,42.29166666666572
